w_m,h_m,u_ms,us_ms,K_m2s
1.4,0.19,0.38,0.11,9.6
1.5,0.14,0.33,0.1,1.9
3.57,0.2,0.15,0.1,1.9
3.77,0.27,0.23,0.12,2.35
5,0.28,0.26,0.21,7.2
5.1,0.25,0.14,0.09,2.53
5.54,0.3,0.15,0.09,3.02
5.57,0.31,0.26,0.09,2.44
7.6,3.45,0.68,0.047,0.5
9,0.3,0.37,0.15,8.4
9.9,0.83,0.46,0.09,5.5
9.9,0.92,0.52,0.1,5.1
10,0.35,0.53,0.17,12.4
10,0.63,0.55,0.3,13.5
10.82,0.2,0.41,0.13,2.35
10.97,0.52,0.21,0.075,17.5
10.99,0.21,0.49,0.14,6.05
11,0.29,0.35,0.058,2.7
11.21,0.24,0.66,0.16,5.35
11.4,0.75,0.41,0.061,8
11.58,0.4,0.22,0.087,1.9
11.9,0.66,0.43,0.085,20.9
12.2,0.51,0.23,0.03,14.7
12.5,0.26,0.31,0.04,6.97
12.8,0.3,0.42,0.057,17.5
13,0.26,0.31,0.044,7
13,0.6,0.48,0.24,6.8
13,0.81,0.37,0.081,13.9
13.4,0.81,0.37,0.08,13.94
13.72,0.85,1.29,0.553,2.9
14.2,0.5,0.13,0.037,12.8
14.5,0.31,0.25,0.062,1.9
14.9,0.59,0.27,0.08,10.3
15.7,0.23,0.36,0.039,69
15.8,0.39,0.32,0.06,9.29
15.8,0.41,0.37,0.06,13.94
15.8496,0.42672,0.36576,0.054864,13.935456
15.85,0.22,0.39,0.05,7.1
15.9,0.22,0.39,0.053,7.1
15.9,0.49,0.21,0.08,19.52
16,0.43,0.37,0.056,13.9
16,0.49,0.26,0.08,9.5
16.66,0.49,0.2,0.08,16.84
16.8,0.5,0.24,0.08,24.6
17.17,0.22,0.52,0.09,7.13
17.37,1.23,0.04,0.050338,14.7
17.53,0.45,0.32,0.024,5.8
18.29,0.38,0.15,0.116,20.71
18.3,0.84,0.52,0.1,21.4
18.6,0.39,0.14,0.12,9.85
19,0.4,0.16,0.116,9.9
19.39,0.26,0.74,0.09,5.51
19.5,1.2,0.45,0.093,32.52
19.6,0.8,0.49,0.1,20.8
19.8,0.41,0.29,0.04,13.94
19.8,0.52,0.43,0.069,16.26
20,0.4,0.19,0.18,6.5
20,0.42,0.29,0.045,13.9
20,1.2,0.45,0.099,32.5
20,1.92,0.62,0.123,11.5
20.31,0.45,0.26,0.08,6
20.74,0.48,0.29,0.09,7.37
20.97,0.31,0.98,0.11,8.18
21.03,0.48,0.52,0.069,25.9
21.3,0.5,0.13,0.037,12.8
21.3,0.5,0.54,0.03,501.4
21.34,0.93,0.36,0.035,24.2
21.64,0.56,0.38,0.09,10.2
21.64,0.61,0.08,0.04237,12.8
21.77,1.58,0.31,0.058,6.5
23.77,1.6,0.67,0.04,5.96
24,1.56,0.71,0.043,9.6
24.1,0.98,0.59,0.098,101.5
24.4,0.71,0.52,0.081,25.55
24.4,1.56,0.67,0.043,9.57
24.7,1.6,0.66,0.04,5.9
24.99,0.45,0.41,0.081,25.9
25,0.56,1.01,0.137,13.94
25,1.21,0.73,0.084,27
25,1.38,0.77,0.091,20.5
25,1.4,0.78,0.091,15.5
25,1.57,0.83,0.096,18
25.9,0.9,0.34,0.07,32.5
25.9,0.94,0.34,0.067,27.6
25.91,0.94,0.34,0.067,32.52
27,1.1,0.44,0.007,24.6
28.65,0.61,0.35,0.07,10.7
29.61,1.08,0.36,0.048,0.5
30,1.1,0.38,0.025,35.9
31.39,1.43,0.13,0.041029,24.2
31.7,0.76,0.36,0.053,44
32,0.5,0.24,0.038,52.2
32.6,0.3,0.43,0.05,9.29
33.4,1.4,0.2,0.031,54.7
33.53,0.78,0.19,0.049,10.7
33.8,0.85,0.16,0.06,9.5
34,0.85,0.15,0.055,9.5
34,2.5,0.13,0.008,1.7
34.1,2.47,0.82,0.18,65
35,2.5,0.037,0.002,0.2
35,2.5,0.107,0.006,1.4
35.1,0.32,0.21,0.04,4.65
35.1,0.98,0.21,0.04,39.48
36,0.58,0.3,0.05,8.08
36.58,0.91,0.42,0.67,39.48
36.6,0.45,0.32,0.05,13.94
36.8,0.9,0.13,0.05,15.5
37,0.81,0.29,0.07,23.2
40.5,0.41,0.23,0.04,66.5
41.45,1.04,0.07,0.090343,10.3
42.2,0.69,0.23,0.064,40.8
42.4,0.8,0.42,0.068,30.19
43,1.13,0.63,0.081,53.3
44.2,1.37,0.99,0.142,184.6
46.9,0.86,0.28,0.07,13.93
47.244,0.85344,0.24384,0.070104,13.935456
47.5,0.87,0.44,0.07,37.16
48.5,1.2,0.21,0.07,14.8
48.7,0.55,0.26,0.052,37.8
49,8.07,0.27,0.019,3
49.7,0.41,0.15,0.081,29.3
49.99,0.95,0.32,0.075,29.6
50.9,0.42,0.46,0.046,20.9
51.21,0.65,0.62,0.04,29.6
53.2,2.41,0.66,0.107,36.9
53.3,2.09,0.79,0.11,46.45
57.91,2.45,0.75,0.104,40.49
59,0.72,0.37,0.07,32
59.4,1.1,0.88,0.12,41.8
59.4,2.13,0.86,0.1,53.88
60,0.95,0.46,0.092,47
63,1,0.32,0.094,22
63.7,0.46,0.1,0.056,29.3
64,0.76,0.67,0.268,34.8
65.5,1.13,0.39,0.075,32.52
67.1,0.55,0.35,0.044,30.19
67.1,0.98,0.88,0.11,41.81
68.6,2.16,1.55,0.168,162.6
70.1,2.35,0.43,0.1,111.48
71.6,8.2,1.2,0.337,243
75,1.6,0.22,0.99,17
75.6,1.95,0.74,0.138,88.9
76,1.2,1.41,0.058,116.4
78,1.2,1.42,0.026,325.6
80,2.74,0.034,0.0024,22.3
80,2.74,0.14,0.0097,34.9
85,2.6,0.69,0.06,52
85.3,2.38,1.74,0.153,464.6
85.9536,2.8194,1.24968,0.51816,1798.602854
86,2.93,1.2,0.53,153
91.9,2.44,0.52,0.094,166.9
92.96,0.71,0.16,0.05,41.4
97.5,1.15,0.32,0.058,119.8
100,4.4,0.029,0.002,0.2
102,4.4,0.17,0.008,22.4
103.6,2.04,0.56,0.05,315.87
106.1,6.1,0.79,0.089,181
116.4,1.65,0.58,0.054,131.3
120,2,0.64,0.05,67
127.4,4.75,0.64,0.08,668.9
152.4,3.66,0.45,0.057,227.6
155.1,1.74,0.47,0.036,177.7
158,4.3,0.19,0.007,48.9
160.3,2.32,1.06,0.054,308.9
161.5,0.4,0.34,0.02,44
161.5,3.96,0.29,0.06,130.5
167,0.2,0.47,0.159,43.2
176,3.4,1.61,0.082,966.2
182.88,3.29184,1.55448,0.079248,1486.44864
182.9,2.23,0.93,0.07,464.52
183,2.33,0.89,0.066,465
183,5.7,0.11,0.02,13.3
194,6.3,0.22,0.039,537.7
197,3.11,1.53,0.078,892
201,3.56,1.28,0.084,837
202,4.6,0.18,0.036,49.1
203,1.35,0.39,0.065,92.9
229,3.4,1.24,0.082,309.8
230,3.5,1.08,0.085,455.1
253.6,0.81,0.48,0.072,45.1
259,3.3,0.17,0.017,24.2
300,0.3,1,0.029,349.6
300,0.4,0.97,0.032,227.7
537.4,8.9,1.51,0.097,374.1
711.2,19.94,0.56,0.041,237.2
